ID,IsSoftwareDev,Age,Gender,BootcampName,BootcampFinish,BootcampLoan,BootcampRecommend,HoursLearning,MonthsProgramming,CityPopulation,CodeEvents,PodcastsListen,ResourcesUse,SchoolDegree
fcec97ea81a48afefd45fdaa0ba38ffb,0,31,male,General Assembly,0,1,1,40,3,"100,000 - 1 million",1,0,1,Bachelor's and Higher
fedcfbfd105c8f6a5242bd99355eefca,1,27,male,Flatiron School,1,0,1,15,36,>1 million,2,1,4,Bachelor's and Higher
fe77569c98663547019c8cc265d77527,1,34,male,App Academy,1,0,1,5,24,>1 million,2,0,1,Bachelor's and Higher
ffe5c4e4932babee53c26fa49f2a409c,0,33,male,Other,1,0,1,18,36,"100,000 - 1 million",1,0,7,Bachelor's and Higher
ffb4b6e4b0d1852b5c15144f3ea50f3d,0,21,male,Other,0,0,1,10,7,"<100,000",0,0,10,Less than Bachelor's
ffad455e06fc0422710c986c23b2d21f,1,35,male,Other,1,0,0,20,12,"100,000 - 1 million",2,0,3,Bachelor's and Higher
ff43711b882ec832244675ff2ffec07d,0,31,female,Other,1,0,1,65,6,>1 million,3,0,3,Bachelor's and Higher
feff4a3f1fc79bde82522c12a19dbe51,0,26,male,Other,0,0,1,40,6,"<100,000",2,1,6,Bachelor's and Higher
fef51f0b54d1d1774c377cfff53f26c4,1,37,male,Other,0,0,1,20,6,>1 million,0,0,6,Bachelor's and Higher
fe197df415c3b025fe97696efac4e7fb,1,28,male,The Iron Yard,1,0,1,10,36,"100,000 - 1 million",2,0,4,Bachelor's and Higher
fd83641af778a4a91a476d80a97f9708,0,24,female,Other,0,0,1,25,2,>1 million,0,0,1,Bachelor's and Higher
fd726c968e40fd69527217c97774d5fb,1,20,male,Other,0,0,1,20,36,>1 million,1,1,2,Less than Bachelor's
fcd763c7b86412a4f00fe9168f1df087,1,24,female,Prime Digital Academy,1,0,1,8,11,"100,000 - 1 million",2,0,3,Bachelor's and Higher
fca1db1aedc34d4cb9bc16fc07e24460,1,21,male,Other,1,0,1,70,24,"100,000 - 1 million",4,2,4,Bachelor's and Higher
fc795a83e460f690eb76a0f6c8a14ed6,1,24,male,Other,0,0,1,30,2,>1 million,0,0,3,Less than Bachelor's
fc651acc8c7782fa732ce07ca52750c7,0,26,female,Turing,0,0,1,70,4,"100,000 - 1 million",3,0,0,Bachelor's and Higher
fc3f1365d61ac3cca8aa2304826f18ae,0,28,female,Other,1,0,1,15,2,"100,000 - 1 million",2,1,6,Bachelor's and Higher
fbd44342a332102f7c01034946a358d6,0,,,Other,0,0,1,40,8,,2,0,4,
fa8aa033da93431f56ec63b917ba5d79,0,32,male,Other,0,1,0,50,3,>1 million,0,1,4,Less than Bachelor's
fa4e57b992271f2898cc24a93625fec0,0,,male,Turing,0,0,0,20,7,>1 million,0,0,3,Bachelor's and Higher
fa47722c936e00428a8a5fb01f728fe1,0,24,female,Other,1,0,0,10,5,"100,000 - 1 million",3,1,2,Bachelor's and Higher
fa0f6ee1557ff29c8147ed9600446735,0,,,Other,1,0,0,3,18,,1,2,1,
f9b765a27e9871742b80a6482b0c69fb,0,38,female,General Assembly,1,0,1,20,5,>1 million,2,0,2,Bachelor's and Higher
f99abbf934d24b438617ddfac6f33257,1,28,male,Turing,1,1,1,15,12,>1 million,0,0,1,Bachelor's and Higher
f948cbbe34e863fecf22321ff42bddfa,0,18,female,Other,0,1,1,21,7,"100,000 - 1 million",1,0,4,Less than Bachelor's
f92364a2bd5813795b9c7c23feaa50a0,0,34,female,Other,0,0,1,40,3,>1 million,2,0,3,Bachelor's and Higher
